ID_AREA,AREA,ID_SUBAREA,SUBAREA,FECHA_CREACION,ESTATUS
0,FIBRAS,1,Fibras,1900-01-01,ACTIVO
1,ESTRUCTURA Y DISEÑO,1,Diseño,1900-01-01,ACTIVO
1,ESTRUCTURA Y DISEÑO,2,Estructura,1900-01-01,ACTIVO
1,ESTRUCTURA Y DISEÑO,3,CNC,1900-01-01,ACTIVO
2,LAMINADO,1,Laminado,1900-01-01,ACTIVO
3,ARMADO Y TAPIZADO,1,Armado interior,1900-01-01,ACTIVO
3,ARMADO Y TAPIZADO,2,Tapizado,1900-01-01,ACTIVO
4,PINTURA,1,Pintura,1900-01-01,ACTIVO
5,DETALLADO,1,Detallado interior,1900-01-01,ACTIVO
5,DETALLADO,2,Detallado exterior,1900-01-01,ACTIVO
5,DETALLADO,3,Detallado de pinturas,1900-01-01,ACTIVO
6,ELÉCTRICO,1,Eléctrico,1900-01-01,ACTIVO
7,GENERAL,1,Piezas,1900-01-01,ACTIVO
7,GENERAL,2,Taller,1900-01-01,ACTIVO
7,GENERAL,3,Limpieza y lavado,1900-01-01,ACTIVO
